id,flight_id,pour_no,whiskey_id,rating,profiness,viscocity,complexity,finish_duration,created_at,updated_at,deleted_at
316,247,1,2562,"7.80","4.50","5.00","6.00","7.00",2025-04-06 17:14:20,2025-04-06 17:14:20,
317,248,1,2562,"5.50","5.40","6.20","5.30","5.10",2025-04-06 17:14:50,2025-04-06 17:14:50,
318,249,1,1683,"9.00","5.00","5.00","8.00","8.50",2025-04-06 17:34:20,2025-04-06 17:34:20,
319,250,1,1683,"6.20","6.10","6.10","6.20","6.30",2025-04-06 17:35:02,2025-04-06 17:35:02,
320,251,1,1399,"7.10","7.50","6.50","6.50","6.00",2025-04-06 17:59:13,2025-04-06 17:59:13,
321,252,1,2165,"8.00","6.80","7.20","8.40","8.00",2025-04-06 17:59:42,2025-04-06 17:59:42,
322,253,1,2968,"8.00","10.00","6.80",,"10.00",2025-04-06 18:24:30,2025-04-06 18:24:30,
323,254,1,2290,"8.70","8.20","6.30","8.60","9.20",2025-04-06 18:38:53,2025-04-06 18:38:53,
324,255,1,2006,"7.20","5.90","4.10","7.50","6.90",2025-04-06 18:57:05,2025-04-06 18:57:05,
325,256,1,868,"7.90","5.50","6.50","7.00","6.50",2025-04-06 19:20:23,2025-04-06 19:20:23,
326,257,1,1314,"8.70","8.10","8.60","7.90","8.80",2025-04-06 19:47:45,2025-04-06 19:47:45,
327,258,1,2165,"8.30","5.00","8.00","8.00","8.50",2025-04-06 19:49:42,2025-04-06 19:49:42,
328,259,1,1483,"7.20","5.50","6.00","6.50","6.50",2025-04-06 20:28:02,2025-04-06 20:28:02,
329,260,1,558,"6.50","4.00","4.50","6.50","6.00",2025-04-06 20:57:48,2025-04-06 20:57:48,
330,261,1,558,"8.50","6.20","8.80","6.50","6.90",2025-04-06 21:13:37,2025-04-06 21:13:37,
331,262,1,863,"7.90","8.70","7.70","7.90","7.60",2025-04-07 01:34:11,2025-04-07 01:34:11,
333,264,1,2954,"3.90",,,,,2025-04-07 07:06:37,2025-04-07 07:06:37,
335,266,1,2836,"4.70",,,,,2025-04-07 07:16:31,2025-04-07 07:16:31,
337,268,1,2634,"7.20","5.50","6.20","6.60","6.60",2025-04-08 03:11:12,2025-04-08 03:11:12,
340,271,1,2323,"4.10",,,,,2025-04-08 09:33:57,2025-04-08 09:33:57,
342,273,1,2886,"4.00",,,,,2025-04-08 09:44:06,2025-04-08 09:44:06,
